strain	gene	Orthogroup	class
ECA250	g9786	OG0016569	accessory
ECA250	g9787	OG0022413	accessory
ECA250	g9788	OG0024575	accessory
ECA250	g9789	OG0025890	accessory
ECA250	g9790	OG0019429	accessory
ECA250	g9791	OG0018397	accessory
ECA250	g9792	OG0024116	accessory
ECA250	g9793	OG0019315	accessory
ECA250	g9794	OG0021498	accessory
ECA250	g9795	OG0023142	accessory
ECA250	g9796	OG0020897	accessory
ECA250	g9797	OG0001391	core
ECA250	g9798	OG0000563	core
ECA250	g9799	OG0017657	accessory
ECA250	g9808	OG0020860	accessory
ECA250	g9809	OG0019209	accessory
ECA250	g9810	OG0003295	accessory
ECA250	g9811	OG0023312	accessory
ECA250	g9876	OG0014970	core
ECA250	g9877	OG0022200	accessory
ECA250	g9878	OG0014971	core
ECA250	g9879	OG0020883	accessory
ECA250	g9880	OG0000364	core
ECA250	g9881	OG0016572	accessory
ECA250	g9882	OG0002329	core
ECA250	g9883	OG0000899	core
ECA250	g9884	OG0001393	core
ECA250	g9885	OG0020380	accessory
ECA250	g9886	OG0020142	accessory
ECA250	g9887	OG0020500	accessory
ECA250	g9888	OG0022469	accessory
ECA250	g9889	OG0019442	accessory
ECA250	g9890	OG0022549	accessory
ECA250	g9891	OG0021875	accessory
ECA250	g9892	OG0022442	accessory
ECA250	g9992	OG0015010	core
ECA250	g9993	OG0015011	core
ECA250	g15536	OG0001733	core
ECA250	g15537	OG0002301	core
ECA250	g15538	OG0001384	core
ECA250	g15548	OG0014349	core
ECA250	g15549	OG0004073	accessory
ECA250	g15550	OG0003255	core
ECA250	g18098	OG0004949	core
ECA250	g18099	OG0020238	accessory
ECA250	g18100	OG0003616	core
ECA250	g18126	OG0018493	accessory
ECA250	g18127	OG0016756	accessory
ECA250	g19707	OG0001425	core
ECA250	g19708	OG0020079	accessory
ECA250	g19709	OG0023876	accessory
ECA250	g19710	OG0017700	accessory
ECA250	g19711	OG0018340	accessory
ECA250	g19712	OG0022772	accessory
ECA250	g19713	OG0022772	accessory
ECA250	g19714	OG0022904	accessory
ECA250	g19715	OG0019951	accessory
ECA250	g19716	OG0000257	accessory
ECA250	g19717	OG0023718	accessory
ECA250	g19718	OG0022477	accessory
ECA250	g19719	OG0000257	accessory
ECA250	g19720	OG0000668	core
ECA250	g19748	OG0001974	core
ECA250	g19810	OG0018921	accessory
ECA250	g19811	OG0018653	accessory
ECA250	g19858	OG0021407	accessory
ECA250	g19859	OG0021980	accessory
ECA250	g19860	OG0019802	accessory
ECA250	g19861	OG0019802	accessory
ECA250	g19862	OG0022045	accessory
ECA250	g19863	OG0020201	accessory
ECA250	g19864	OG0025221	accessory
ECA250	g19865	OG0000715	accessory
ECA250	g19866	OG0021991	accessory
ECA250	g19867	OG0020423	accessory
ECA250	g19868	OG0054733	private
ECA250	g19869	OG0020423	accessory
ECA250	g19870	OG0020400	accessory
ECA250	g19871	OG0022524	accessory
ECA250	g19872	OG0022160	accessory
ECA250	g19873	OG0021501	accessory
ECA250	g19874	OG0017960	accessory
ECA250	g19875	OG0022291	accessory
ECA250	g19876	OG0017960	accessory
ECA250	g19877	OG0020280	accessory
ECA250	g19878	OG0020190	accessory
ECA250	g19879	OG0018410	accessory
ECA250	g19880	OG0001195	core
ECA250	g19881	OG0021866	accessory
ECA250	g19882	OG0022877	accessory
ECA250	g19883	OG0022059	accessory
ECA250	g19884	OG0022084	accessory
ECA250	g19885	OG0021934	accessory
ECA250	g19996	OG0007296	core
ECA250	g19997	OG0022006	accessory
ECA250	g19998	OG0007297	core
ECA250	g20013	OG0018691	accessory
ECA250	g20014	OG0000012	accessory
ECA250	g20015	OG0043674	private
ECA250	g20016	OG0018255	accessory
ECA250	g20017	OG0018059	accessory
ECA250	g20018	OG0000806	accessory
ECA250	g20019	OG0018649	accessory
ECA250	g20020	OG0021645	accessory
ECA250	g20021	OG0021439	accessory
ECA250	g20022	OG0020972	accessory
ECA250	g20023	OG0001976	accessory
ECA250	g20024	OG0017820	accessory
ECA250	g20025	OG0017172	accessory
ECA250	g20042	OG0019245	accessory
ECA250	g20043	OG0000554	accessory
ECA250	g20488	OG0003064	core
ECA250	g20489	OG0000560	accessory
ECA250	g20490	OG0003065	core
ECA250	g20491	OG0001010	core
ECA250	g21161	OG0003489	core
ECA250	g21162	OG0015606	accessory
ECA250	g21163	OG0008067	core
ECA250	g21164	OG0002018	core
ECA250	g21165	OG0026483	accessory
ECA250	g21166	OG0000086	accessory
ECA250	g21167	OG0000086	accessory
ECA250	g21168	OG0021067	accessory
ECA250	g21169	OG0020907	accessory
ECA250	g21170	OG0020453	accessory
ECA250	g21171	OG0000881	core
ECA250	g21172	OG0003761	core
ECA250	g22258	OG0014568	core
ECA250	g22294	OG0021403	accessory
ECA250	g22383	OG0001448	core
ECA250	g22384	OG0001447	accessory
ECA250	g22385	OG0000956	core
ECA250	g22386	OG0001446	core
ECA250	g22387	OG0001445	core
ECA250	g22388	OG0018086	accessory
ECA250	g22389	OG0008049	core
ECA250	g22410	OG0016912	accessory
ECA251	g98	OG0004110	core
ECA251	g171	OG0000486	core
ECA251	g172	OG0022910	accessory
ECA251	g173	OG0000746	accessory
ECA251	g174	OG0000417	accessory
ECA251	g175	OG0000417	accessory
ECA251	g176	OG0015877	accessory
ECA251	g177	OG0018279	accessory
ECA251	g178	OG0017369	accessory
ECA251	g179	OG0017658	accessory
ECA251	g180	OG0016158	accessory
ECA251	g243	OG0000447	accessory
ECA251	g244	OG0025797	accessory
ECA251	g245	OG0000623	core
ECA251	g246	OG0017082	accessory
ECA251	g247	OG0025796	accessory
ECA251	g248	OG0007431	core
ECA251	g249	OG0025711	accessory
ECA251	g250	OG0025928	accessory
ECA251	g251	OG0019389	accessory
ECA251	g252	OG0017784	accessory
ECA251	g253	OG0017785	accessory
ECA251	g254	OG0019423	accessory
ECA251	g255	OG0016901	accessory
ECA251	g361	OG0025025	accessory
ECA251	g362	OG0027797	accessory
ECA251	g363	OG0020372	accessory
ECA251	g364	OG0020252	accessory
ECA251	g365	OG0025493	accessory
ECA251	g366	OG0027468	accessory
ECA251	g367	OG0020372	accessory
ECA251	g368	OG0025591	accessory
ECA251	g369	OG0020372	accessory
ECA251	g370	OG0003995	core
ECA251	g371	OG0022493	accessory
ECA251	g372	OG0023130	accessory
ECA251	g373	OG0021949	accessory
ECA251	g374	OG0021949	accessory
ECA251	g375	OG0023129	accessory
ECA251	g376	OG0007445	core
ECA251	g377	OG0015878	accessory
ECA251	g378	OG0000188	accessory
ECA251	g379	OG0000188	accessory
ECA251	g380	OG0023133	accessory
ECA251	g381	OG0000081	core
ECA251	g382	OG0000081	core
ECA251	g383	OG0000220	accessory
ECA251	g384	OG0000270	core
ECA251	g385	OG0000188	accessory
ECA251	g386	OG0000081	core
ECA251	g387	OG0000081	core
ECA251	g388	OG0000220	accessory
ECA251	g389	OG0000220	accessory
ECA251	g390	OG0000270	core
ECA251	g391	OG0000188	accessory
ECA251	g392	OG0000081	core
ECA251	g393	OG0023133	accessory
ECA251	g394	OG0025397	accessory
ECA251	g395	OG0007446	core
ECA251	g396	OG0007447	core
ECA251	g397	OG0007448	core
ECA251	g398	OG0016163	accessory
ECA251	g399	OG0007449	core
ECA251	g400	OG0007450	core
ECA251	g439	OG0001988	accessory
ECA251	g440	OG0018257	accessory
ECA251	g441	OG0020404	accessory
ECA251	g442	OG0023696	accessory
ECA251	g443	OG0022681	accessory
ECA251	g444	OG0023294	accessory
ECA251	g445	OG0022680	accessory
ECA251	g446	OG0019887	accessory
ECA251	g447	OG0022906	accessory
ECA251	g448	OG0025857	accessory
ECA251	g449	OG0022547	accessory
ECA251	g450	OG0022915	accessory
ECA251	g451	OG0000403	accessory
ECA251	g452	OG0018547	accessory
ECA251	g453	OG0020762	accessory
ECA251	g454	OG0025592	accessory
ECA251	g455	OG0021964	accessory
ECA251	g456	OG0025818	accessory
ECA251	g457	OG0001069	core
ECA251	g458	OG0003475	core
ECA251	g459	OG0025125	accessory
ECA251	g460	OG0039207	private
ECA251	g461	OG0022455	accessory
ECA251	g462	OG0025831	accessory
ECA251	g463	OG0024415	accessory
ECA251	g490	OG0018034	accessory
ECA251	g491	OG0024746	accessory
ECA251	g492	OG0023664	accessory
ECA251	g493	OG0024386	accessory
ECA251	g494	OG0024385	accessory
ECA251	g495	OG0018911	accessory
ECA251	g496	OG0023412	accessory
ECA251	g497	OG0022299	accessory
ECA251	g498	OG0020768	accessory
ECA251	g499	OG0021764	accessory
ECA251	g500	OG0021837	accessory
ECA251	g501	OG0024553	accessory
ECA251	g502	OG0024391	accessory
ECA251	g503	OG0021848	accessory
ECA251	g504	OG0022044	accessory
ECA251	g505	OG0020772	accessory
ECA251	g506	OG0019769	accessory
ECA251	g507	OG0021694	accessory
ECA251	g508	OG0020964	accessory
ECA251	g509	OG0022890	accessory
ECA251	g510	OG0021366	accessory
ECA251	g511	OG0023529	accessory
ECA251	g512	OG0022099	accessory
ECA251	g513	OG0022388	accessory
ECA251	g514	OG0019901	accessory
ECA251	g515	OG0022099	accessory
ECA251	g516	OG0023824	accessory
ECA251	g517	OG0021436	accessory
ECA251	g518	OG0019901	accessory
ECA251	g519	OG0021436	accessory
ECA251	g520	OG0021166	accessory
ECA251	g521	OG0022457	accessory
ECA251	g522	OG0022456	accessory
ECA251	g523	OG0024395	accessory
ECA251	g524	OG0023241	accessory
ECA251	g525	OG0022912	accessory
ECA251	g538	OG0019745	accessory
ECA251	g539	OG0000116	accessory
ECA251	g540	OG0021215	accessory
ECA251	g541	OG0021215	accessory
ECA251	g542	OG0021548	accessory
ECA251	g543	OG0021166	accessory
ECA251	g544	OG0021548	accessory
ECA251	g545	OG0021215	accessory
ECA251	g546	OG0020968	accessory
ECA251	g547	OG0020498	accessory
ECA251	g548	OG0025868	accessory
ECA251	g549	OG0025944	accessory
ECA251	g550	OG0020188	accessory
ECA251	g551	OG0018209	accessory
ECA251	g552	OG0017979	accessory
ECA251	g553	OG0019651	accessory
ECA251	g554	OG0020456	accessory
ECA251	g555	OG0025176	accessory
ECA251	g556	OG0025020	accessory
ECA251	g557	OG0023080	accessory
ECA251	g558	OG0022739	accessory
ECA251	g559	OG0025663	accessory
ECA251	g560	OG0020315	accessory
ECA251	g561	OG0000116	accessory
ECA251	g562	OG0018835	accessory
ECA251	g616	OG0018706	accessory
ECA251	g617	OG0020647	accessory
ECA251	g618	OG0022034	accessory
ECA251	g619	OG0022715	accessory
ECA251	g620	OG0019054	accessory
ECA251	g621	OG0022380	accessory
ECA251	g622	OG0022886	accessory
ECA251	g623	OG0022027	accessory
ECA251	g624	OG0021766	accessory
ECA251	g625	OG0022458	accessory
ECA251	g626	OG0023803	accessory
ECA251	g627	OG0021029	accessory
ECA251	g628	OG0020976	accessory
ECA251	g629	OG0023405	accessory
ECA251	g630	OG0021417	accessory
ECA251	g631	OG0017180	accessory
ECA251	g632	OG0021985	accessory
ECA251	g633	OG0022294	accessory
ECA251	g634	OG0022797	accessory
ECA251	g635	OG0021838	accessory
ECA251	g636	OG0021505	accessory
ECA251	g637	OG0020215	accessory
ECA251	g638	OG0020641	accessory
ECA251	g639	OG0020300	accessory
ECA251	g640	OG0020592	accessory
ECA251	g641	OG0019121	accessory
ECA251	g642	OG0022170	accessory
ECA251	g643	OG0025863	accessory
ECA251	g644	OG0024234	accessory
ECA251	g645	OG0020700	accessory
ECA251	g646	OG0022162	accessory
ECA251	g647	OG0023233	accessory
ECA251	g648	OG0023408	accessory
ECA251	g649	OG0022788	accessory
ECA251	g650	OG0000012	accessory
ECA251	g651	OG0021831	accessory
ECA251	g652	OG0021831	accessory
ECA251	g653	OG0024807	accessory
ECA251	g654	OG0025260	accessory
ECA251	g656	OG0023774	accessory
ECA251	g657	OG0023023	accessory
ECA251	g658	OG0023448	accessory
ECA251	g659	OG0019479	accessory
ECA251	g660	OG0020939	accessory
ECA251	g661	OG0020153	accessory
ECA251	g662	OG0000286	accessory
ECA251	g663	OG0000286	accessory
ECA251	g664	OG0000208	accessory
ECA251	g665	OG0000208	accessory
ECA251	g666	OG0020983	accessory
ECA251	g667	OG0021450	accessory
ECA251	g668	OG0019333	accessory
ECA251	g669	OG0004061	core
ECA251	g670	OG0023358	accessory
ECA251	g671	OG0023012	accessory
ECA251	g672	OG0023850	accessory
ECA251	g673	OG0022185	accessory
ECA251	g674	OG0017817	accessory
ECA251	g675	OG0022734	accessory
ECA251	g676	OG0023354	accessory
ECA251	g677	OG0023301	accessory
ECA251	g678	OG0024162	accessory
ECA251	g679	OG0024094	accessory
ECA251	g680	OG0025309	accessory
ECA251	g681	OG0022423	accessory
ECA251	g682	OG0015674	accessory
ECA251	g683	OG0017649	accessory
ECA251	g684	OG0024512	accessory
ECA251	g685	OG0021916	accessory
ECA251	g686	OG0023396	accessory
ECA251	g687	OG0021204	accessory
ECA251	g688	OG0023219	accessory
ECA251	g689	OG0023796	accessory
ECA251	g690	OG0035574	accessory
ECA251	g691	OG0022596	accessory
ECA251	g692	OG0018366	accessory
ECA251	g693	OG0021467	accessory
ECA251	g694	OG0027168	accessory
ECA251	g695	OG0023035	accessory
ECA251	g696	OG0023758	accessory
ECA251	g697	OG0018103	accessory
ECA251	g698	OG0020511	accessory
ECA251	g699	OG0019373	accessory
ECA251	g718	OG0001990	core
ECA251	g719	OG0021046	accessory
ECA251	g720	OG0001121	core
ECA251	g721	OG0022043	accessory
ECA251	g722	OG0028480	accessory
ECA251	g723	OG0026502	accessory
ECA251	g724	OG0028170	accessory
ECA251	g725	OG0022300	accessory
ECA251	g726	OG0019147	accessory
ECA251	g727	OG0026920	accessory
ECA251	g728	OG0023337	accessory
ECA251	g729	OG0023337	accessory
ECA251	g730	OG0022119	accessory
ECA251	g731	OG0029712	accessory
ECA251	g732	OG0029713	accessory
ECA251	g733	OG0019484	accessory
ECA251	g734	OG0023873	accessory
ECA251	g735	OG0024360	accessory
ECA251	g736	OG0024360	accessory
ECA251	g737	OG0026720	accessory
ECA251	g738	OG0027116	accessory
ECA251	g739	OG0026044	accessory
ECA251	g740	OG0028241	accessory
ECA251	g741	OG0024360	accessory
ECA251	g742	OG0023509	accessory
ECA251	g743	OG0022706	accessory
ECA251	g744	OG0021163	accessory
ECA251	g745	OG0029235	accessory
ECA251	g746	OG0019484	accessory
ECA251	g747	OG0024122	accessory
ECA251	g748	OG0029518	accessory
ECA251	g749	OG0020276	accessory
ECA251	g772	OG0023493	accessory
ECA251	g773	OG0019335	accessory
ECA251	g774	OG0021513	accessory
ECA251	g775	OG0025416	accessory
ECA251	g776	OG0025111	accessory
ECA251	g777	OG0018153	accessory
ECA251	g778	OG0023238	accessory
ECA251	g779	OG0027717	accessory
ECA251	g780	OG0024860	accessory
ECA251	g781	OG0022815	accessory
ECA251	g782	OG0024916	accessory
ECA251	g783	OG0025151	accessory
ECA251	g784	OG0026219	accessory
ECA251	g785	OG0020767	accessory
ECA251	g786	OG0000006	accessory
ECA251	g787	OG0034541	accessory
ECA251	g788	OG0018523	accessory
ECA251	g800	OG0002580	core
ECA251	g801	OG0023679	accessory
ECA251	g802	OG0017591	accessory
ECA251	g803	OG0028815	accessory
ECA251	g804	OG0033197	accessory
ECA251	g805	OG0026172	accessory
ECA251	g806	OG0017084	accessory
ECA251	g828	OG0018401	accessory
ECA251	g829	OG0023716	accessory
ECA251	g830	OG0007477	core
ECA251	g831	OG0017679	accessory
ECA251	g832	OG0017681	accessory
ECA251	g833	OG0023250	accessory
ECA251	g834	OG0019303	accessory
ECA251	g835	OG0019656	accessory
ECA251	g836	OG0016623	accessory
ECA251	g837	OG0018758	accessory
ECA251	g838	OG0004011	accessory
ECA251	g839	OG0007478	core
ECA251	g910	OG0007500	core
ECA251	g1023	OG0023270	accessory
ECA251	g1024	OG0000555	accessory
ECA251	g1025	OG0003742	accessory
ECA251	g1026	OG0000087	accessory
ECA251	g1027	OG0001749	accessory
ECA251	g1028	OG0020697	accessory
ECA251	g1029	OG0020371	accessory
ECA251	g1030	OG0016721	accessory
ECA251	g1031	OG0020838	accessory
ECA251	g1032	OG0017582	accessory
ECA251	g1033	OG0019826	accessory
ECA251	g1034	OG0023435	accessory
ECA251	g1035	OG0022258	accessory
ECA251	g1036	OG0025250	accessory
ECA251	g1037	OG0025250	accessory
ECA251	g1038	OG0018039	accessory
ECA251	g1039	OG0017829	accessory
ECA251	g1040	OG0021178	accessory
ECA251	g1041	OG0000281	core
ECA251	g1042	OG0020856	accessory
ECA251	g1043	OG0021273	accessory
ECA251	g1044	OG0017121	accessory
ECA251	g1045	OG0025427	accessory
ECA251	g1046	OG0000281	core
ECA251	g1047	OG0007542	core
ECA251	g1048	OG0024384	accessory
ECA251	g1049	OG0019499	accessory
ECA251	g1050	OG0003746	core
ECA251	g1051	OG0002586	core
ECA251	g1052	OG0024859	accessory
ECA251	g1053	OG0002587	core
ECA251	g1054	OG0007543	core
ECA251	g1055	OG0020705	accessory
ECA251	g1061	OG0027659	accessory
ECA251	g1063	OG0016984	accessory
ECA251	g1064	OG0019363	accessory
ECA251	g1065	OG0017894	accessory
ECA251	g1067	OG0021738	accessory
ECA251	g1068	OG0027065	accessory
ECA251	g1069	OG0026566	accessory
ECA251	g1070	OG0023741	accessory
ECA251	g1071	OG0023265	accessory
ECA251	g1072	OG0018962	accessory
ECA251	g1073	OG0024008	accessory
ECA251	g1074	OG0019527	accessory
ECA251	g1075	OG0024397	accessory
ECA251	g1076	OG0019284	accessory
ECA251	g1077	OG0025013	accessory
ECA251	g1078	OG0024133	accessory
ECA251	g1079	OG0021231	accessory
ECA251	g1080	OG0026601	accessory
ECA251	g1081	OG0023482	accessory
ECA251	g1082	OG0023482	accessory
ECA251	g1083	OG0023481	accessory
ECA251	g1084	OG0021231	accessory
ECA251	g1085	OG0021644	accessory
ECA251	g1086	OG0024668	accessory
ECA251	g1087	OG0020258	accessory
ECA251	g1088	OG0028207	accessory
ECA251	g1089	OG0021054	accessory
ECA251	g1090	OG0024726	accessory
ECA251	g1091	OG0017898	accessory
ECA251	g1092	OG0017786	accessory
ECA251	g1093	OG0007544	core
ECA251	g1094	OG0000656	core
ECA251	g1095	OG0017825	accessory
ECA251	g1107	OG0020704	accessory
ECA251	g1108	OG0016639	accessory
ECA251	g1109	OG0032078	accessory
ECA251	g1110	OG0019612	accessory
ECA251	g1111	OG0025192	accessory
ECA251	g1112	OG0007547	core
ECA251	g7632	OG0021135	accessory
ECA251	g7666	OG0007592	accessory
ECA251	g7667	OG0016172	accessory
ECA251	g7668	OG0016171	accessory
ECA251	g7669	OG0015559	accessory
ECA251	g7670	OG0019850	accessory
ECA251	g7698	OG0007581	core
ECA251	g7699	OG0007580	accessory
ECA251	g7700	OG0021618	accessory
ECA251	g7705	OG0021763	accessory
ECA251	g7706	OG0016979	accessory
ECA251	g7707	OG0002005	core
ECA251	g7708	OG0000317	accessory
ECA251	g7709	OG0019889	accessory
ECA251	g7710	OG0007579	core
ECA251	g7714	OG0015601	accessory
ECA251	g7715	OG0007577	core
ECA251	g7716	OG0017594	accessory
ECA251	g7717	OG0020149	accessory
ECA251	g7718	OG0007576	core
ECA251	g7729	OG0003251	core
ECA251	g7730	OG0015647	accessory
ECA251	g7731	OG0022867	accessory
ECA251	g7732	OG0003250	core
ECA251	g7733	OG0000017	core
ECA251	g7734	OG0000017	core
ECA251	g7735	OG0000017	core
ECA251	g7736	OG0020639	accessory
ECA251	g7737	OG0020696	accessory
ECA251	g7738	OG0019454	accessory
ECA251	g7739	OG0020344	accessory
ECA251	g7740	OG0000017	core
ECA251	g7741	OG0015646	accessory
ECA251	g7742	OG0019772	accessory
ECA251	g7743	OG0000308	accessory
ECA251	g7744	OG0000308	accessory
ECA251	g7745	OG0019630	accessory
ECA251	g7746	OG0007574	core
ECA251	g7747	OG0007573	core
ECA251	g7917	OG0015011	core
ECA251	g7918	OG0015010	core
ECA251	g8105	OG0023312	accessory
ECA251	g8106	OG0003295	accessory
ECA251	g8107	OG0019209	accessory
ECA251	g8108	OG0020860	accessory
ECA251	g8117	OG0017657	accessory
ECA251	g8118	OG0000563	core
ECA251	g8119	OG0001391	core
ECA251	g8120	OG0020897	accessory
ECA251	g8121	OG0023142	accessory
ECA251	g8122	OG0021498	accessory
ECA251	g8123	OG0019315	accessory
ECA251	g8124	OG0024116	accessory
ECA251	g8125	OG0018397	accessory
ECA251	g8126	OG0019429	accessory
ECA251	g8127	OG0025890	accessory
ECA251	g8128	OG0024575	accessory
ECA251	g8129	OG0022413	accessory
ECA251	g8130	OG0016569	accessory
ECA251	g8131	OG0024190	accessory
ECA251	g8132	OG0000531	core
ECA251	g8133	OG0000940	core
ECA251	g8134	OG0001271	core
ECA251	g8139	OG0019405	accessory
ECA251	g8151	OG0014953	core
ECA251	g8152	OG0014952	core
ECA251	g8154	OG0014950	core
ECA251	g8177	OG0025143	accessory
ECA251	g8178	OG0014940	core
ECA251	g8180	OG0014938	core
ECA251	g8315	OG0007677	core
ECA251	g8316	OG0007676	core
ECA251	g8399	OG0007629	core
ECA251	g8400	OG0016174	accessory
ECA251	g8417	OG0007617	core
ECA251	g10023	OG0001733	core
ECA251	g10024	OG0002301	core
ECA251	g10025	OG0001384	core
ECA251	g10035	OG0014349	core
ECA251	g10036	OG0004073	accessory
ECA251	g10037	OG0003255	core
ECA251	g10491	OG0003761	core
ECA251	g10492	OG0000881	core
ECA251	g10493	OG0020453	accessory
ECA251	g10494	OG0020907	accessory
ECA251	g10495	OG0021067	accessory
ECA251	g10496	OG0000086	accessory
ECA251	g10497	OG0000086	accessory
ECA251	g10498	OG0026483	accessory
ECA251	g10499	OG0002018	core
ECA251	g10500	OG0008067	core
ECA251	g10501	OG0015606	accessory
ECA251	g10502	OG0003489	core
ECA251	g11665	OG0004949	core
ECA251	g11666	OG0020238	accessory
ECA251	g11667	OG0003616	core
ECA251	g12451	OG0014532	core
ECA251	g12452	OG0014533	core
ECA251	g12500	OG0001796	core
ECA251	g12501	OG0018526	accessory
ECA251	g12583	OG0021403	accessory
ECA251	g12668	OG0001448	core
ECA251	g12669	OG0001447	accessory
ECA251	g12670	OG0000956	core
ECA251	g12671	OG0001446	core
ECA251	g12672	OG0001445	core
ECA251	g12673	OG0018086	accessory
ECA251	g12674	OG0008049	core
ECA251	g17692	OG0003064	core
ECA251	g17693	OG0000560	accessory
ECA251	g17694	OG0003065	core
ECA251	g17695	OG0001010	core
ECA251	g17713	OG0001507	accessory
ECA251	g17714	OG0017242	accessory
ECA251	g20977	OG0015326	core
ECA251	g21012	OG0020269	accessory
ECA251	g21013	OG0022402	accessory
ECA251	g21014	OG0015302	accessory
ECA251	g21828	OG0020079	accessory
ECA251	g21829	OG0023876	accessory
ECA251	g21830	OG0017700	accessory
ECA251	g21831	OG0018340	accessory
ECA251	g21832	OG0022772	accessory
ECA251	g21833	OG0022904	accessory
ECA251	g21834	OG0019951	accessory
ECA251	g21835	OG0000257	accessory
ECA251	g21836	OG0023718	accessory
ECA251	g21837	OG0000257	accessory
ECA251	g21838	OG0000668	core
ECA251	g21865	OG0001974	core
ECA251	g21927	OG0018921	accessory
ECA251	g21928	OG0018653	accessory
ECA251	g21976	OG0021407	accessory
ECA251	g21977	OG0021980	accessory
ECA251	g21978	OG0019802	accessory
ECA251	g21979	OG0019802	accessory
ECA251	g21980	OG0022045	accessory
ECA251	g21981	OG0020201	accessory
ECA251	g21982	OG0000715	accessory
ECA251	g21983	OG0021991	accessory
ECA251	g21984	OG0020423	accessory
ECA251	g21985	OG0021263	accessory
ECA251	g21986	OG0020423	accessory
ECA251	g21987	OG0020400	accessory
ECA251	g21988	OG0022524	accessory
ECA251	g21989	OG0022160	accessory
ECA251	g21990	OG0021501	accessory
ECA251	g21991	OG0017960	accessory
ECA251	g21992	OG0022291	accessory
ECA251	g21993	OG0017960	accessory
ECA251	g21994	OG0020280	accessory
ECA251	g21995	OG0020190	accessory
ECA251	g21996	OG0018410	accessory
ECA251	g21997	OG0001195	core
ECA251	g21998	OG0021866	accessory
ECA251	g21999	OG0022877	accessory
ECA251	g22000	OG0022059	accessory
ECA251	g22001	OG0021359	accessory
ECA251	g22002	OG0023318	accessory
ECA251	g22003	OG0022084	accessory
ECA251	g22004	OG0021934	accessory
ECA251	g22119	OG0007296	core
ECA251	g22120	OG0022006	accessory
ECA251	g22121	OG0007297	core
ECA251	g22135	OG0021040	accessory
ECA251	g22136	OG0018691	accessory
ECA251	g22137	OG0023931	accessory
ECA251	g22138	OG0000012	accessory
ECA251	g22139	OG0018255	accessory
ECA251	g22140	OG0018059	accessory
ECA251	g22141	OG0000806	accessory
ECA251	g22142	OG0018649	accessory
ECA251	g22143	OG0021645	accessory
ECA251	g22144	OG0021439	accessory
ECA251	g22145	OG0020972	accessory
ECA251	g22146	OG0001976	accessory
ECA251	g22147	OG0017820	accessory
ECA251	g22148	OG0017172	accessory
ECA251	g22164	OG0019245	accessory
ECA251	g22165	OG0000554	accessory
ECA2529	g537	OG0003616	core
ECA2529	g538	OG0021520	accessory
ECA2529	g539	OG0004949	core
ECA2529	g1085	OG0018536	accessory
ECA2529	g1086	OG0003133	core
ECA2529	g1087	OG0018112	accessory
ECA2529	g1088	OG0000385	accessory
ECA2529	g1089	OG0000292	core
ECA2529	g1090	OG0000292	core
ECA2529	g1091	OG0017106	accessory
ECA2529	g1092	OG0024066	accessory
ECA2529	g1093	OG0015234	core
ECA2529	g1094	OG0020088	accessory
ECA2529	g1095	OG0015233	core
ECA2529	g1096	OG0024154	accessory
ECA2529	g1097	OG0017461	accessory
ECA2529	g1098	OG0017305	accessory
ECA2529	g1099	OG0019191	accessory
ECA2529	g1100	OG0017163	accessory
ECA2529	g1101	OG0017571	accessory
ECA2529	g1102	OG0024222	accessory
ECA2529	g1103	OG0024455	accessory
ECA2529	g1104	OG0016678	accessory
ECA2529	g1105	OG0024056	accessory
ECA2529	g1106	OG0023922	accessory
ECA2529	g1107	OG0023260	accessory
ECA2529	g1108	OG0024026	accessory
ECA2529	g1109	OG0021524	accessory
ECA2529	g1110	OG0000848	core
ECA2529	g1111	OG0017162	accessory
ECA2529	g1112	OG0003480	core
ECA2529	g1113	OG0004002	accessory
ECA2529	g1114	OG0003281	core
ECA2529	g1115	OG0001028	core
ECA2529	g1116	OG0015660	accessory
ECA2529	g1117	OG0015661	accessory
ECA2529	g1118	OG0003468	accessory
ECA2529	g1119	OG0023812	accessory
ECA2529	g1120	OG0000679	accessory
ECA2529	g1121	OG0023788	accessory
ECA2529	g1122	OG0023813	accessory
ECA2529	g1123	OG0004036	core
ECA2529	g1124	OG0024038	accessory
ECA2529	g1125	OG0024620	accessory
ECA2529	g1126	OG0001129	accessory
ECA2529	g1127	OG0015232	core
ECA2529	g1128	OG0023797	accessory
ECA2529	g1129	OG0020089	accessory
ECA2529	g1130	OG0000687	core
ECA2529	g1131	OG0018110	accessory
ECA2529	g1132	OG0001283	core
ECA2529	g1133	OG0017958	accessory
ECA2529	g1134	OG0003517	accessory
ECA2529	g1135	OG0015593	accessory
ECA2529	g1136	OG0000759	core
ECA2529	g1137	OG0024174	accessory
ECA2529	g1138	OG0000704	core
ECA2529	g1139	OG0000801	accessory
ECA2529	g1140	OG0001098	accessory
ECA2529	g1141	OG0023463	accessory
ECA2529	g1142	OG0024255	accessory
ECA2529	g1143	OG0019550	accessory
ECA2529	g1144	OG0001110	accessory
ECA2529	g1145	OG0000844	core
ECA2529	g1146	OG0003963	core
ECA2529	g1147	OG0015772	accessory
ECA2529	g1148	OG0001738	core
ECA2529	g1149	OG0025239	accessory
ECA2529	g1150	OG0024421	accessory
ECA2529	g1151	OG0019237	accessory
ECA2529	g1152	OG0000707	core
ECA2529	g1153	OG0003043	core
ECA2529	g1154	OG0003042	core
