strain	gene	class
ECA36	g4519	accessory
ECA36	g4520	core
ECA36	g4521	core
ECA36	g4522	core
ECA36	g4523	core
ECA36	g4524	core
ECA36	g4525	core
ECA36	g4526	accessory
ECA36	g4527	core
ECA36	g4528	core
ECA36	g4529	core
ECA36	g4530	core
ECA36	g4531	accessory
ECA36	g4532	core
ECA36	g4533	accessory
ECA36	g4534	accessory
ECA36	g4535	accessory
ECA36	g4536	accessory
ECA36	g4537	accessory
ECA36	g4538	accessory
ECA36	g4539	accessory
ECA36	g4540	core
ECA36	g4541	core
ECA36	g4542	core
ECA36	g4543	accessory
ECA36	g4544	accessory
ECA36	g4545	accessory
ECA36	g4546	accessory
ECA36	g4547	accessory
ECA36	g4550	core
ECA36	g4551	accessory
ECA36	g4552	accessory
ECA36	g4553	accessory
ECA36	g4554	accessory
ECA36	g4555	accessory
ECA36	g4556	accessory
ECA36	g4557	accessory
ECA36	g4558	accessory
ECA36	g4559	accessory
ECA36	g4560	accessory
ECA36	g4561	core
ECA36	g4562	core
ECA36	g4563	accessory
ECA36	g4564	accessory
ECA36	g4565	core
ECA36	g4566	accessory
ECA36	g4567	accessory
ECA36	g4568	core
ECA36	g4569	core
ECA36	g4570	core
ECA36	g4575	core
ECA36	g4576	accessory
ECA36	g4577	accessory
ECA36	g4578	accessory
ECA36	g4579	accessory
ECA36	g4580	accessory
ECA36	g4581	accessory
ECA36	g4582	core
ECA36	g4583	accessory
ECA36	g4584	core
ECA36	g4585	core
ECA36	g4586	core
ECA36	g4587	accessory
ECA36	g4588	accessory
ECA36	g4589	accessory
ECA36	g4590	accessory
ECA36	g4591	core
ECA36	g4592	accessory
ECA36	g4593	core
ECA36	g4594	accessory
ECA36	g4595	accessory
ECA36	g4596	accessory
ECA36	g4597	core
ECA36	g4598	accessory
ECA36	g4599	accessory
ECA36	g4600	accessory
ECA36	g4601	core
ECA36	g4602	accessory
ECA36	g4603	accessory
ECA36	g4604	accessory
ECA36	g4605	accessory
ECA36	g4606	accessory
ECA36	g4607	accessory
ECA36	g4608	accessory
ECA36	g4609	accessory
ECA36	g4610	accessory
ECA36	g4611	core
ECA36	g4612	accessory
ECA36	g4613	accessory
ECA36	g4614	core
ECA36	g4615	accessory
ECA36	g4616	accessory
ECA36	g4617	accessory
ECA36	g4618	accessory
ECA36	g4619	accessory
ECA36	g4620	accessory
ECA36	g4621	accessory
ECA36	g4622	accessory
ECA36	g4623	accessory
ECA36	g4624	core
ECA36	g4625	core
ECA36	g4626	core
ECA36	g4627	accessory
ECA36	g4628	accessory
ECA36	g4629	accessory
ECA36	g4630	core
ECA36	g4631	core
ECA36	g4632	accessory
ECA36	g4633	core
ECA36	g4634	accessory
ECA36	g4635	accessory
ECA36	g4636	accessory
ECA36	g4637	accessory
ECA36	g4638	private
ECA36	g4639	accessory
ECA36	g4640	accessory
ECA36	g4641	core
ECA36	g4642	core
ECA36	g4643	core
ECA36	g4644	accessory
ECA36	g4645	accessory
ECA36	g4646	accessory
ECA36	g4647	core
ECA36	g4648	core
ECA36	g4649	accessory
ECA36	g4650	accessory
ECA36	g4651	accessory
ECA36	g4652	core
ECA36	g4653	core
ECA36	g4654	core
ECA36	g4655	core
ECA36	g4656	accessory
ECA36	g4657	core
ECA36	g4658	accessory
ECA36	g4659	accessory
ECA36	g4660	accessory
ECA36	g4661	core
ECA36	g4662	accessory
ECA36	g4663	accessory
ECA36	g4664	core
ECA36	g4665	core
ECA36	g4666	core
ECA36	g4667	core
ECA36	g4668	core
ECA36	g4669	core
ECA36	g4670	core
ECA36	g4671	accessory
ECA36	g4672	accessory
ECA36	g4673	accessory
ECA36	g4674	accessory
ECA36	g4675	accessory
ECA36	g4676	accessory
ECA36	g4677	accessory
ECA36	g4678	accessory
ECA36	g4679	accessory
ECA36	g4680	accessory
ECA36	g4681	accessory
ECA36	g4682	accessory
ECA36	g4683	accessory
ECA36	g4684	accessory
ECA36	g4685	accessory
ECA36	g4686	accessory
ECA36	g4687	accessory
ECA36	g4688	accessory
ECA36	g4689	accessory
ECA36	g4690	accessory
ECA36	g4691	core
ECA36	g4692	accessory
ECA36	g4693	accessory
ECA36	g4694	accessory
ECA36	g4695	accessory
ECA36	g4696	accessory
ECA36	g4697	accessory
ECA36	g4698	accessory
ECA36	g4699	accessory
ECA36	g4700	accessory
ECA36	g4701	accessory
ECA36	g4702	core
ECA36	g4703	accessory
ECA36	g4704	accessory
ECA36	g4705	core
ECA36	g4706	accessory
ECA36	g4707	accessory
ECA36	g4708	core
ECA36	g4709	accessory
ECA36	g4710	core
ECA36	g4711	core
ECA36	g4712	core
ECA36	g4713	core
ECA36	g4727	accessory
ECA36	g4728	accessory
ECA36	g4729	accessory
ECA36	g4730	accessory
ECA36	g4731	accessory
ECA36	g4732	accessory
ECA36	g4733	accessory
ECA36	g4734	accessory
ECA36	g4735	accessory
ECA36	g4736	accessory
ECA36	g4737	core
ECA36	g4738	core
ECA36	g4739	core
ECA36	g4740	accessory
ECA36	g4741	accessory
ECA36	g4742	accessory
ECA36	g4743	accessory
ECA36	g4744	accessory
ECA36	g4745	accessory
ECA36	g4746	accessory
ECA36	g4747	accessory
ECA36	g4748	core
ECA36	g4749	core
ECA36	g4750	accessory
ECA36	g4751	accessory
ECA36	g4752	accessory
ECA36	g4753	accessory
ECA36	g4754	accessory
ECA36	g4755	accessory
ECA36	g4756	core
ECA36	g4757	accessory
ECA36	g4758	accessory
ECA36	g4811	accessory
ECA36	g4812	core
ECA36	g4813	accessory
ECA36	g4814	accessory
ECA36	g4815	accessory
ECA36	g4816	accessory
ECA36	g4817	accessory
ECA36	g4818	accessory
ECA36	g4819	accessory
ECA36	g4820	accessory
ECA36	g4821	accessory
ECA36	g4822	accessory
ECA36	g4823	accessory
ECA36	g4824	accessory
ECA36	g4825	accessory
ECA36	g4826	accessory
ECA36	g4827	accessory
ECA36	g4828	accessory
ECA36	g4837	accessory
ECA36	g4838	accessory
ECA36	g4839	core
ECA36	g4840	accessory
ECA36	g4841	accessory
ECA36	g4842	accessory
ECA36	g4843	accessory
ECA36	g4844	core
ECA36	g4845	core
ECA36	g4846	accessory
ECA36	g4847	accessory
ECA36	g4848	accessory
ECA36	g4849	accessory
ECA36	g4850	accessory
ECA36	g4851	accessory
ECA36	g4852	accessory
ECA36	g4853	core
ECA36	g4854	core
ECA36	g4855	accessory
ECA36	g4856	accessory
ECA36	g4857	accessory
ECA36	g4858	accessory
ECA36	g4859	accessory
ECA36	g4860	accessory
ECA36	g4861	accessory
ECA36	g4862	accessory
ECA36	g4863	accessory
ECA36	g4864	accessory
ECA36	g4865	accessory
ECA36	g4866	core
ECA36	g4867	accessory
ECA36	g4868	core
ECA36	g4869	core
ECA36	g4870	core
ECA36	g4871	accessory
ECA36	g4872	accessory
ECA36	g4873	accessory
ECA36	g4874	accessory
ECA36	g4875	accessory
ECA36	g4876	accessory
ECA36	g4877	accessory
ECA36	g4878	accessory
ECA36	g4879	accessory
ECA36	g4880	accessory
ECA36	g4881	accessory
ECA36	g4882	accessory
ECA36	g4883	accessory
ECA36	g4884	accessory
ECA36	g4885	accessory
ECA36	g4886	accessory
ECA36	g4887	accessory
ECA36	g4888	accessory
ECA36	g4889	accessory
ECA36	g4890	accessory
ECA36	g4891	accessory
ECA36	g4892	accessory
ECA36	g4893	accessory
ECA36	g4894	accessory
ECA36	g4895	accessory
ECA36	g4896	accessory
ECA36	g4897	accessory
ECA36	g4898	accessory
ECA36	g4899	accessory
ECA36	g4900	accessory
ECA36	g4901	accessory
ECA36	g4902	accessory
ECA36	g4903	accessory
ECA36	g4904	accessory
ECA36	g4905	accessory
ECA36	g4906	accessory
ECA36	g4907	accessory
ECA36	g4908	accessory
ECA36	g4909	accessory
ECA36	g4910	accessory
ECA36	g4911	accessory
ECA36	g4912	accessory
ECA36	g4913	accessory
ECA36	g4914	accessory
ECA36	g4915	accessory
ECA36	g4927	accessory
ECA36	g4928	accessory
ECA36	g4929	accessory
ECA36	g4930	accessory
ECA36	g4931	accessory
ECA36	g4932	accessory
ECA36	g4933	accessory
ECA36	g4934	accessory
ECA36	g4935	accessory
ECA36	g4936	accessory
ECA36	g4937	accessory
ECA36	g4938	accessory
ECA36	g4939	accessory
ECA36	g4943	accessory
ECA36	g4944	accessory
ECA36	g4945	accessory
ECA36	g4946	accessory
ECA36	g4947	accessory
ECA36	g4948	accessory
ECA36	g5055	accessory
ECA36	g5056	accessory
ECA36	g5057	accessory
ECA36	g5058	accessory
ECA36	g5059	accessory
ECA36	g5120	core
ECA36	g5309	core
ECA36	g5310	core
ECA36	g5311	core
ECA36	g5312	core
ECA36	g5313	accessory
ECA36	g5314	core
ECA36	g5315	core
ECA36	g5316	accessory
ECA36	g5317	private
ECA36	g5318	core
ECA36	g5319	core
ECA36	g5322	core
ECA36	g5323	accessory
ECA36	g5324	core
ECA36	g5325	core
ECA36	g5326	core
ECA36	g5327	core
ECA36	g5328	core
ECA36	g5329	core
ECA36	g5330	core
ECA36	g5331	core
ECA36	g5332	core
ECA36	g5333	core
ECA36	g5334	core
ECA36	g5335	core
ECA36	g5336	accessory
ECA36	g5337	core
ECA36	g5338	core
ECA36	g5339	core
ECA36	g5340	core
ECA36	g5341	core
ECA36	g5342	core
ECA36	g5343	core
ECA36	g5344	core
ECA36	g5345	core
ECA36	g5346	core
ECA36	g5347	core
ECA36	g5348	core
ECA36	g5349	core
ECA36	g5350	accessory
ECA36	g5351	core
ECA36	g5352	accessory
ECA36	g5353	accessory
ECA36	g5354	accessory
ECA36	g5355	core
ECA36	g5356	accessory
ECA36	g5357	core
ECA36	g5358	core
ECA36	g5359	core
ECA36	g5360	core
ECA36	g5361	core
ECA36	g5362	core
ECA36	g5363	core
ECA36	g5364	core
ECA36	g5365	core
ECA36	g5366	core
ECA36	g5367	core
ECA36	g5368	core
ECA36	g5369	core
ECA36	g5370	core
ECA36	g5443	core
ECA36	g5444	core
ECA36	g5639	core
ECA36	g5653	core
ECA36	g5654	accessory
ECA36	g5655	accessory
ECA36	g5656	accessory
ECA36	g5657	accessory
ECA36	g5666	core
ECA36	g5667	accessory
ECA36	g5674	core
ECA36	g5675	core
ECA36	g5786	core
ECA36	g5787	core
ECA36	g5791	core
ECA36	g5797	core
ECA36	g5798	accessory
ECA36	g5799	accessory
ECA36	g5800	core
ECA36	g5801	core
ECA36	g5802	accessory
ECA36	g5803	accessory
ECA36	g5804	accessory
ECA36	g5817	accessory
ECA36	g5818	core
ECA36	g5851	core
ECA36	g5852	accessory
ECA36	g5853	core
ECA36	g5854	core
ECA36	g5855	core
ECA36	g5856	core
ECA36	g5857	private
ECA36	g5858	accessory
ECA36	g5965	accessory
ECA36	g5966	accessory
ECA36	g6255	core
ECA36	g6256	accessory
ECA36	g6257	core
ECA36	g6258	core
ECA36	g6293	core
ECA36	g6294	core
ECA36	g6306	core
ECA36	g6316	core
ECA36	g6317	accessory
ECA36	g6318	core
ECA36	g6319	core
ECA36	g6320	core
ECA36	g6348	core
ECA36	g6379	core
ECA36	g6380	accessory
ECA36	g6381	accessory
ECA36	g6448	core
ECA36	g6449	core
ECA36	g6450	core
ECA36	g6451	accessory
ECA36	g6452	core
ECA36	g6453	core
ECA36	g6454	accessory
ECA36	g6469	core
ECA36	g6470	core
ECA36	g6471	accessory
ECA36	g6472	core
ECA36	g6486	core
ECA36	g6487	core
ECA36	g6493	core
ECA36	g6514	core
ECA36	g6515	core
ECA36	g6516	core
ECA36	g6517	core
ECA36	g6518	accessory
ECA36	g6519	accessory
ECA36	g6531	accessory
ECA36	g6532	accessory
ECA36	g6533	core
ECA36	g6534	core
ECA36	g6535	core
ECA36	g6536	accessory
ECA36	g6537	core
ECA36	g6538	core
ECA36	g6582	core
ECA36	g6583	core
ECA36	g6584	accessory
ECA36	g6585	core
ECA36	g6597	core
ECA36	g6598	core
ECA36	g6599	core
ECA36	g6601	core
ECA36	g6602	accessory
ECA36	g6603	accessory
ECA36	g6636	accessory
ECA36	g6637	accessory
ECA36	g6638	accessory
ECA36	g6639	private
ECA36	g6640	accessory
ECA36	g6641	accessory
ECA36	g6642	accessory
ECA36	g6643	core
ECA36	g6644	core
ECA36	g6645	accessory
ECA36	g6646	core
ECA36	g6647	accessory
ECA36	g6648	core
ECA36	g6649	core
ECA36	g6964	core
ECA36	g6965	core
ECA36	g6966	accessory
ECA36	g6967	core
ECA36	g6968	core
ECA36	g6969	core
ECA36	g6970	core
ECA36	g6971	core
ECA36	g7026	core
ECA36	g7027	core
ECA36	g7028	core
ECA36	g7029	core
ECA36	g7030	core
ECA36	g7031	accessory
ECA36	g7032	core
ECA36	g7033	core
ECA36	g7034	core
ECA36	g7035	core
ECA36	g7036	core
ECA36	g7037	core
ECA36	g8327	accessory
ECA36	g8328	core
ECA36	g8329	accessory
ECA36	g8330	accessory
ECA36	g8331	accessory
ECA36	g8332	core
ECA36	g8333	accessory
ECA36	g8334	accessory
ECA36	g8335	core
ECA36	g8480	core
ECA36	g8481	core
ECA36	g8482	core
ECA36	g8483	accessory
ECA36	g8484	accessory
ECA36	g8485	core
ECA36	g8486	core
ECA36	g8503	core
ECA36	g8504	core
ECA36	g8505	accessory
ECA36	g8506	core
ECA36	g8507	core
ECA36	g8543	core
ECA36	g8544	core
ECA36	g8545	core
ECA36	g8546	core
ECA36	g8551	core
ECA36	g8552	accessory
ECA36	g8553	core
ECA36	g8554	core
ECA36	g8618	core
ECA36	g8619	accessory
ECA36	g8620	core
ECA36	g8621	core
ECA36	g8622	accessory
ECA36	g8623	core
ECA36	g8654	accessory
ECA36	g8655	core
ECA36	g8656	core
ECA36	g8657	core
ECA36	g8658	core
ECA36	g8659	accessory
ECA36	g8660	accessory
ECA36	g8661	core
ECA36	g8662	accessory
ECA36	g8663	accessory
ECA36	g8664	core
ECA36	g8665	core
ECA36	g8666	core
ECA36	g8667	accessory
ECA36	g8668	accessory
ECA36	g8669	core
ECA36	g8670	accessory
ECA36	g8671	core
ECA36	g8672	accessory
ECA36	g8673	accessory
ECA36	g8674	accessory
ECA36	g8675	core
ECA36	g8676	core
ECA36	g8677	core
ECA36	g8678	core
ECA36	g8679	accessory
ECA36	g8680	accessory
ECA36	g8681	accessory
ECA36	g8682	core
ECA36	g8683	accessory
ECA36	g8684	accessory
ECA36	g8685	accessory
ECA36	g8686	accessory
ECA36	g8687	accessory
ECA36	g8688	core
ECA36	g8689	core
ECA36	g8690	accessory
ECA36	g8691	accessory
ECA36	g8692	accessory
ECA36	g8693	accessory
ECA36	g8694	accessory
ECA36	g8695	accessory
ECA36	g8696	accessory
ECA36	g8697	core
ECA36	g8698	core
ECA36	g8699	core
ECA36	g8700	core
ECA36	g8701	accessory
ECA36	g8702	accessory
ECA36	g8703	accessory
ECA36	g8704	accessory
ECA36	g8705	core
ECA36	g8706	accessory
ECA36	g8707	core
ECA36	g8708	core
ECA36	g8761	core
ECA36	g8762	core
ECA36	g8763	core
ECA36	g8764	accessory
ECA36	g8765	core
ECA36	g8783	core
ECA36	g8784	core
ECA36	g8902	accessory
ECA36	g8903	accessory
ECA36	g8904	accessory
ECA36	g8905	accessory
ECA36	g8906	accessory
ECA36	g8907	accessory
ECA36	g8908	private
ECA36	g8909	private
ECA36	g8910	accessory
ECA36	g8911	accessory
ECA36	g8912	accessory
ECA36	g8913	accessory
ECA36	g8914	core
ECA36	g8915	core
ECA36	g8934	accessory
ECA36	g8935	accessory
ECA36	g8944	accessory
ECA36	g8945	accessory
ECA36	g8946	core
ECA36	g8984	accessory
ECA36	g8985	core
ECA36	g8986	core
ECA36	g8987	accessory
ECA36	g8988	accessory
ECA36	g9000	accessory
ECA36	g9001	accessory
ECA36	g9002	accessory
ECA36	g9003	accessory
ECA36	g9004	accessory
ECA36	g9005	accessory
ECA36	g9006	accessory
ECA36	g9007	accessory
ECA36	g9019	core
ECA36	g9030	core
ECA36	g9039	accessory
ECA36	g9040	accessory
ECA36	g9041	accessory
ECA36	g9053	accessory
ECA36	g9054	core
ECA36	g9060	core
ECA36	g9064	accessory
ECA36	g9065	core
ECA36	g9066	core
ECA36	g9106	core
ECA36	g9107	accessory
ECA36	g9108	core
ECA36	g9109	core
ECA36	g9110	accessory
ECA36	g9111	core
ECA36	g9112	accessory
ECA36	g9113	core
ECA36	g9114	accessory
ECA36	g9115	accessory
ECA36	g9116	accessory
ECA36	g9117	accessory
ECA36	g9118	core
ECA36	g9130	core
ECA36	g9131	core
ECA36	g9132	core
ECA36	g9146	accessory
ECA36	g9147	accessory
ECA36	g9148	accessory
ECA36	g9149	accessory
ECA36	g9150	accessory
ECA36	g9151	accessory
ECA36	g9152	core
ECA36	g9153	core
ECA36	g10151	core
ECA36	g10152	accessory
ECA36	g10153	accessory
ECA36	g10154	accessory
ECA36	g10155	core
ECA36	g10506	core
ECA36	g10507	core
ECA36	g10508	accessory
ECA36	g10509	accessory
ECA36	g10510	accessory
ECA36	g10511	core
ECA36	g10512	core
ECA36	g10513	accessory
ECA36	g10514	core
ECA36	g10515	accessory
ECA36	g10516	core
ECA36	g10517	core
ECA36	g10518	core
ECA36	g10519	core
ECA36	g10520	core
ECA36	g10521	accessory
ECA36	g10522	accessory
ECA36	g10523	core
ECA36	g10524	accessory
ECA36	g10525	core
ECA36	g10526	accessory
ECA36	g10527	accessory
ECA36	g10528	accessory
ECA36	g10529	accessory
ECA36	g10530	core
ECA36	g10531	accessory
ECA36	g10532	core
ECA36	g10533	accessory
ECA36	g10534	core
ECA36	g10535	core
ECA36	g10600	core
ECA36	g10601	core
ECA36	g10602	accessory
ECA36	g10603	accessory
ECA36	g10604	core
ECA36	g10605	core
ECA36	g10606	accessory
ECA36	g10607	accessory
ECA36	g10608	accessory
ECA36	g10609	core
ECA36	g10610	accessory
ECA36	g10611	accessory
ECA36	g10612	accessory
ECA36	g10613	core
ECA36	g10614	accessory
ECA36	g10615	accessory
ECA36	g10616	core
ECA36	g10617	accessory
ECA36	g10618	accessory
ECA36	g10632	core
ECA36	g10633	core
ECA36	g10634	accessory
ECA36	g10635	core
ECA36	g10636	accessory
ECA36	g10637	core
ECA36	g10638	core
ECA36	g10639	accessory
ECA36	g10640	core
ECA36	g10641	core
ECA36	g10645	core
ECA36	g10646	accessory
ECA36	g10647	accessory
ECA36	g10648	accessory
ECA36	g10649	core
ECA36	g10650	accessory
ECA36	g10651	accessory
ECA36	g10652	core
ECA36	g10653	core
ECA36	g10654	core
ECA36	g10655	core
ECA36	g10824	accessory
ECA36	g10825	accessory
ECA36	g10826	accessory
ECA36	g10827	accessory
ECA36	g10828	accessory
ECA36	g10829	accessory
ECA36	g10830	accessory
ECA36	g10831	accessory
ECA36	g10832	accessory
ECA36	g10833	accessory
ECA36	g10834	accessory
ECA36	g10835	accessory
ECA36	g10836	accessory
ECA36	g10837	accessory
ECA36	g10838	accessory
ECA36	g10839	accessory
ECA36	g10840	accessory
ECA36	g10841	accessory
ECA36	g10842	accessory
ECA36	g10843	accessory
ECA36	g10844	accessory
ECA36	g10845	accessory
ECA36	g10846	accessory
ECA36	g10847	accessory
ECA36	g10848	accessory
ECA36	g10849	accessory
ECA36	g10850	accessory
ECA36	g10851	accessory
ECA36	g10852	accessory
ECA36	g10853	accessory
ECA36	g10854	accessory
ECA36	g10855	accessory
ECA36	g10856	accessory
ECA36	g10857	accessory
ECA36	g10858	accessory
ECA36	g10859	core
ECA36	g10860	core
ECA36	g10861	core
ECA36	g10922	core
ECA36	g10923	core
ECA36	g10924	core
ECA36	g10925	core
ECA36	g10926	core
ECA36	g10927	core
ECA36	g10928	accessory
ECA36	g10929	accessory
ECA36	g10930	core
ECA36	g10939	core
ECA36	g10940	core
ECA36	g10941	accessory
ECA36	g10942	accessory
ECA36	g10943	core
ECA36	g10944	core
ECA36	g10945	core
ECA36	g10946	core
ECA36	g10959	accessory
ECA36	g10960	accessory
ECA36	g10961	core
ECA36	g10962	accessory
ECA36	g10963	core
ECA36	g10964	core
ECA36	g10965	core
ECA36	g10975	core
ECA36	g10976	core
ECA36	g10977	core
ECA36	g10978	accessory
ECA36	g10979	core
ECA36	g10980	core
ECA36	g10981	accessory
ECA36	g10982	core
ECA36	g10983	core
ECA36	g10984	accessory
ECA36	g10985	accessory
ECA36	g10986	accessory
ECA36	g10987	accessory
ECA36	g10988	accessory
ECA36	g10989	accessory
ECA36	g10990	core
ECA36	g10991	core
ECA36	g10992	core
ECA36	g10993	accessory
ECA36	g10994	core
ECA36	g10995	core
ECA36	g10996	core
ECA36	g10997	accessory
ECA36	g10998	core
ECA36	g10999	accessory
ECA36	g11000	accessory
ECA36	g11001	core
ECA36	g11002	core
ECA36	g11003	core
ECA36	g11004	accessory
ECA36	g11005	accessory
ECA36	g11006	accessory
ECA36	g11007	core
ECA36	g11008	core
ECA36	g11010	accessory
ECA36	g11011	core
ECA36	g11012	core
ECA36	g11013	core
ECA36	g11014	accessory
ECA36	g11015	accessory
ECA36	g11016	accessory
ECA36	g11017	accessory
ECA36	g11018	core
ECA36	g11019	accessory
ECA36	g11020	accessory
ECA36	g11021	accessory
ECA36	g11022	accessory
ECA36	g11032	core
ECA36	g11037	core
ECA36	g11038	core
ECA36	g11039	accessory
ECA36	g11040	accessory
ECA36	g11041	accessory
ECA36	g11042	core
ECA36	g11043	core
ECA36	g11044	accessory
ECA36	g11045	accessory
ECA36	g11046	core
ECA36	g11047	core
ECA36	g11048	core
ECA36	g11049	core
ECA36	g11050	core
ECA36	g11051	core
ECA36	g11052	core
ECA36	g11053	accessory
ECA36	g11054	core
ECA36	g11055	core
ECA36	g11068	accessory
ECA36	g11069	accessory
ECA36	g11104	core
ECA36	g11105	core
ECA36	g11106	core
ECA36	g11107	accessory
ECA36	g11108	accessory
ECA36	g11109	accessory
ECA36	g11110	accessory
ECA36	g11142	core
ECA36	g11207	core
ECA36	g11208	core
ECA36	g11217	core
ECA36	g11218	core
ECA36	g11219	core
ECA36	g11220	core
ECA36	g11231	core
ECA36	g11232	core
ECA36	g11233	core
ECA36	g11234	accessory
ECA36	g11235	accessory
ECA36	g11236	core
ECA36	g11237	core
ECA36	g11238	accessory
ECA36	g11243	core
ECA36	g11244	accessory
ECA36	g11245	core
ECA36	g11283	core
ECA36	g11284	accessory
ECA36	g11285	accessory
ECA36	g11286	accessory
ECA36	g11573	core
ECA36	g11574	core
ECA36	g11575	accessory
ECA36	g11576	accessory
ECA36	g11577	core
ECA36	g11578	accessory
ECA36	g11579	core
ECA36	g11580	core
ECA36	g11581	accessory
ECA36	g11582	accessory
ECA36	g11583	core
ECA36	g11584	core
ECA36	g11585	core
ECA36	g11586	core
ECA36	g11587	core
ECA36	g11588	core
ECA36	g11695	core
ECA36	g11696	core
ECA36	g11697	core
ECA36	g11698	core
ECA36	g11699	core
ECA36	g11739	accessory
ECA36	g11740	core
ECA36	g11741	core
ECA36	g11742	core
ECA36	g11752	core
ECA36	g11819	core
ECA36	g11834	core
ECA36	g11835	core
ECA36	g12184	core
ECA36	g12185	accessory
ECA36	g12186	core
ECA36	g12187	core
ECA36	g12188	accessory
ECA36	g12189	accessory
ECA36	g12190	accessory
ECA36	g12191	accessory
ECA36	g12192	accessory
ECA36	g12193	core
ECA36	g12194	core
ECA36	g12195	core
ECA36	g12377	core
ECA36	g12378	accessory
ECA36	g12379	accessory
ECA36	g12380	accessory
ECA36	g12381	accessory
ECA36	g12382	accessory
ECA36	g12383	accessory
ECA36	g12384	core
ECA36	g12385	core
ECA36	g12629	core
ECA36	g12630	core
ECA36	g12631	core
ECA36	g12632	core
ECA36	g12633	core
ECA36	g12634	accessory
ECA36	g12635	core
ECA36	g12636	accessory
ECA36	g12637	core
ECA36	g13344	core
ECA36	g13345	core
ECA36	g13346	core
ECA36	g13347	core
ECA36	g13348	core
ECA36	g13820	core
ECA36	g13821	core
ECA36	g13822	core
ECA36	g13823	accessory
ECA36	g13824	core
ECA36	g13825	accessory
ECA36	g13826	accessory
ECA36	g13827	accessory
ECA36	g13828	accessory
ECA36	g13829	accessory
ECA36	g13830	core
ECA36	g13831	core
ECA36	g13832	core
ECA36	g13833	core
ECA36	g13834	core
ECA36	g13835	accessory
ECA36	g13836	accessory
ECA36	g13837	core
ECA36	g13838	core
ECA36	g13839	accessory
ECA36	g13840	core
ECA36	g13841	core
ECA36	g13842	accessory
ECA36	g13843	core
ECA36	g13844	accessory
ECA36	g13845	accessory
ECA36	g13846	core
ECA36	g13847	accessory
ECA36	g13848	accessory
ECA36	g13849	accessory
ECA36	g13850	accessory
ECA36	g13851	core
ECA36	g13852	core
ECA36	g13853	core
ECA36	g13854	core
ECA36	g13855	core
ECA36	g13856	core
ECA36	g13857	core
ECA36	g13858	core
ECA36	g13859	accessory
ECA36	g13860	accessory
ECA36	g13861	core
ECA36	g13862	accessory
ECA36	g13863	core
ECA36	g13864	core
ECA36	g13865	accessory
ECA36	g13866	accessory
ECA36	g13867	accessory
ECA36	g13868	accessory
ECA36	g13869	accessory
ECA36	g13870	accessory
ECA36	g13871	core
ECA36	g13872	accessory
ECA36	g13873	core
ECA36	g13874	accessory
ECA36	g13875	accessory
ECA36	g13876	core
ECA36	g13877	accessory
ECA36	g13878	accessory
ECA36	g13879	core
ECA36	g13880	accessory
ECA36	g13881	accessory
ECA36	g13882	accessory
ECA36	g13883	accessory
ECA36	g13884	accessory
ECA36	g13885	accessory
ECA36	g13886	accessory
ECA36	g13887	accessory
ECA36	g13888	accessory
ECA36	g13889	core
ECA36	g13890	accessory
ECA36	g13913	accessory
ECA36	g13914	accessory
ECA36	g13915	core
ECA36	g13916	accessory
ECA36	g13917	core
ECA36	g13918	accessory
ECA36	g13931	core
ECA36	g13932	core
ECA36	g13933	core
ECA36	g13934	core
ECA36	g13935	core
ECA36	g13936	accessory
ECA36	g13937	core
ECA36	g13938	accessory
ECA36	g13939	accessory
ECA36	g13940	accessory
ECA36	g13941	accessory
ECA36	g13942	accessory
ECA36	g13943	accessory
ECA36	g13944	accessory
ECA36	g13945	accessory
ECA36	g13946	accessory
ECA36	g13947	accessory
ECA36	g13948	core
ECA36	g13949	core
ECA36	g13950	accessory
ECA36	g13951	core
ECA36	g13952	core
ECA36	g13953	core
ECA36	g13954	accessory
ECA36	g13955	accessory
ECA36	g13956	accessory
ECA36	g13957	core
ECA36	g13958	core
ECA36	g13959	core
ECA36	g13960	accessory
ECA36	g13961	accessory
ECA36	g13962	accessory
ECA36	g13963	core
ECA36	g13964	accessory
ECA36	g13965	core
ECA36	g13966	core
ECA36	g13967	core
ECA36	g13968	accessory
ECA36	g13969	core
ECA36	g13970	accessory
ECA36	g13971	accessory
ECA36	g13989	accessory
ECA36	g13990	accessory
ECA36	g13991	accessory
ECA36	g13992	core
ECA36	g13993	core
ECA36	g14012	core
ECA36	g14013	core
ECA36	g14014	accessory
ECA36	g14021	core
ECA36	g14022	accessory
ECA36	g14023	accessory
ECA36	g14024	accessory
ECA36	g14025	accessory
ECA36	g14026	accessory
ECA36	g14120	accessory
ECA36	g14121	accessory
ECA36	g14122	accessory
ECA36	g14123	accessory
ECA36	g14129	accessory
ECA36	g14130	accessory
ECA36	g14131	accessory
ECA36	g14157	core
ECA36	g14158	accessory
ECA36	g14159	accessory
ECA36	g14200	accessory
ECA36	g14201	accessory
ECA36	g14202	accessory
ECA36	g14203	accessory
ECA36	g14204	accessory
ECA36	g14205	accessory
ECA36	g14206	accessory
ECA36	g14207	accessory
ECA36	g14208	accessory
ECA36	g14209	accessory
ECA36	g14210	accessory
ECA36	g14211	accessory
ECA36	g14229	accessory
ECA36	g14230	accessory
ECA36	g14231	core
ECA36	g14232	core
ECA36	g14233	core
ECA36	g14234	core
ECA36	g14235	core
ECA36	g14236	core
ECA36	g14237	accessory
ECA36	g14238	accessory
ECA36	g14239	core
ECA36	g14240	accessory
